id,name,in_church_service
1,وادي حوف,true
2,تقسيم النصر للسيارات,true
3,عزبة كامل صدقي القبلية,true
4,مدينة الهدي,false
5,تقسيم النصر للسيارات الجديد,false
6,تقسيم العاملين بالمحافظة,true
7,تقسيم القوات المسلحة,true
8,تقسيم العاملين بشركة النصر,true
9,تقسيم السكة الحديد,false
10,تقسيم الجيش,false
11,ترعة الخشاب,false
12,عزبة النخل,false
13,تقسيم فريد زكي,false
14,حدائق حلوان,false
15,جمال عبد الناصر,false
16,تقسيم المعلمين,false
17,الدواجن,false
18,عزبة الوالدة,false
19,الملاءة,false
20,حلوان,false
21,المعصرة,false
22,طره البلد,false
23,15 مايو,false
24,زهراء المعادى,false
25,دائري المعادي,false
26,شبرا,false
27,تقسيم المحافظة,true
28,تقسيم العاملين,true